country,lifetime_physical_or_sexual_intimate_partner_violence,lastyear_physical_or_sexual_intimate_partner_violence,lifetime_non_partner_sexual_violence,child_marriage,female_genital_mutilation,reports
Saint Vincent and the Grenadines,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/saint%20vincent%20and%20the%20grenadines/saint%20vincent%20and%20the%20grenadines%20cedaw%20co.pdf?vs=3957'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/saint%20vincent%20and%20the%20grenadines/saint%20vincent%20and%20the%20grenadines%20upr%20wg%20report.pdf?vs=4008'}]"
Samoa,0.375,0.268,0.097,0.074,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/samoa/samoa%20cedaw%20co.pdf?vs=4510'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/samoa/samoa%20upr%20wg%20report.pdf?vs=4553'}]"
San Marino,,,,,,"[{'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/san%20marino/san%20marion%20upr%20wg%20report.pdf?vs=2439'}]"
Sao Tome and Principe,0.279,0.263,,0.28,,"[{'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/sao%20tome%20and%20principe/sao%20tome%20and%20principe%20upr%20wg%20report.pdf?vs=1913'}]"
Saudi Arabia,,,,,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/saudi%20arabia/saudi%20arabia%20srvaw.pdf?vs=1013'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/saudi%20arabia/saudi%20arabia%20cedaw%20co.pdf?vs=936'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/saudi%20arabia/saudi%20arabia%20upr%20wg%20report.pdf?vs=1014'}]"
Senegal,0.215,0.122,,0.305,0.24,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/senegal/senegal%20cedaw%20co.pdf?vs=1946'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/senegal/senegal%20upr%20wg%20report.pdf?vs=1957'}]"
Serbia,0.17,0.034,0.02,0.055,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/serbia/serbia%20cedaw%20co.pdf?vs=2535'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/serbia/serbia%20upr%20wg%20report.pdf?vs=2546'}]"
Seychelles,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/seychelles/seychelles%20cedaw%20co.pdf?vs=2235'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/seychelles/seychelles%20upr%20wg%20report.pdf?vs=2259'}]"
Sierra Leone,0.53,0.4,,0.296,0.861,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/sierra%20leone/sierra%20leone%20srvaw.pdf?vs=2343'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/sierra%20leone/sierra%20leone%20cedaw%20co.pdf?vs=2332'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/sierra%20leone/sierra%20leone%20upr%20wg%20report.pdf?vs=2355'}]"
Singapore,0.061,0.009,,0.001,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/singapore/singapore%20cedaw%20co.pdf?vs=1116'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/singapore/singapore%20upr%20wg%20report.pdf?vs=1126'}]"
Slovakia,0.23,0.06,0.04,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/slovakia/slovakia%20cedaw%20co.pdf?vs=2649'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/slovakia/slovakia%20upr%20wg%20report.pdf?vs=2832'}]"
Slovenia,0.13,0.02,0.04,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/slovenia/slovenia%20cedaw%20co.pdf?vs=2906'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/slovenia/slovenia%20upr%20wg%20report.pdf?vs=2920'}]"
Solomon Islands,0.635,0.418,0.18,0.213,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/solomon%20islands/solomon%20islands%20srvaw.pdf?vs=4714'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/solomon%20islands/solomon%20islands%20cedaw%20co.pdf?vs=4648'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/solomon%20islands/solomon%20islands%20upr%20wg%20report.pdf?vs=4753'}]"
Somalia,,,,0.355,0.992,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/somalia/somalia%20srvaw.pdf?vs=2438'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/somalia/somalia%20upr%20wg%20report.pdf?vs=2450'}]"
South Africa,0.213,0.087,,0.036,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/south%20africa/sr%20south%20africa.pdf?vs=1107'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/south%20africa/south%20africa%20cedaw%20co.pdf?vs=2607'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/south%20africa/south%20africa%20upr%20wg%20report.pdf?vs=2741'}]"
South Sudan,,,,0.515,,"[{'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/south%20sudan/upr%20south%20sudan.pdf?vs=1221'}]"
Spain,0.13,0.02,0.03,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/spain/spain%20cedaw%20co.pdf?vs=2948'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/spain/spain%20upr%20wg%20report.pdf?vs=3016'}]"
Sri Lanka,0.204,0.06,0.041,0.098,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/sri%20lanka/sri%20lanka%20cedaw%20co.pdf?vs=1412'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/sri%20lanka/sri%20lanka%20upr%20wg%20report.pdf?vs=1449'}]"
Sudan,,,,0.342,0.866,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/sudan/sr%20sudan.pdf?vs=1154'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/sudan/sudan%20upr%20wg%20report.pdf?vs=1149'}]"
Suriname,,,,0.36,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/suriname/suriname%20cedaw%20co.pdf?vs=4111'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/suriname/suriname%20upr%20wg%20report.pdf?vs=4125'}]"
Sweden,0.28,0.05,0.12,,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/sweden/sweden%20srvaw.pdf?vs=3057'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/sweden/sweden%20cedaw%20co.pdf?vs=3045'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/sweden/sweden%20upr%20wg%20report.pdf?vs=3107'}]"
Switzerland,,,,,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/3d6658d8a0bf4e75b3e2d050fabcf4e1.ashx'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/switzerland/switzerland%20cedaw%20co.pdf?vs=3211'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/switzerland/switzerland%20upr%20wg%20report.pdf?vs=3221'}]"
Syrian Arab Republic,,,,0.133,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/syrian%20arab%20republic/syrian%20arab%20republic%20cedaw%20co.pdf?vs=1317'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/syrian%20arab%20republic/syria%20upr%20wg%20report.pdf?vs=1242'}]"
Tajikistan,0.264,0.19,,0.087,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/tajikistan/tajikistan%20srvaw.pdf?vs=1600'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/tajikistan/tajikistan%20cedaw%20co.pdf?vs=1547'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/tajikistan/tajikistan%20upr%20wg%20report.pdf?vs=1612'}]"
Thailand,,,,0.202,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/thailand/thailand%20cedaw%20co.pdf?vs=1706'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/thailand/thailand%20upr%20wg%20report.pdf?vs=1719'}]"
Timor-Leste,0.588,0.464,0.139,0.149,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/timor-leste/timor%20leste%20srvaw.pdf?vs=1918'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/timor-leste/timor%20leste%20cedaw%20co.pdf?vs=1812'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/timor-leste/timorleste%20upr%20wg%20report.pdf?vs=1954'}]"
Togo,0.251,0.127,,0.248,0.031,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/togo/togo%20cedaw%20co.pdf?vs=1545'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/togo/togo%20upr%20wg%20report.pdf?vs=1631'}]"
Tonga,0.212,0.129,0.032,0.101,,"[{'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/tonga/tonga%20upr%20wg%20report.pdf?vs=4912'}]"
Trinidad and Tobago,0.302,0.057,0.19,0.112,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/trinidad%20and%20tobago/trinidad%20and%20tobago%20cedaw%20co.pdf?vs=4157'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/trinidad%20and%20tobago/trinidad%20and%20tobago%20upr%20wg%20report.pdf?vs=4210'}]"
Tunisia,,,,0.015,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/tunisia/tunisia%20cedaw%20co.pdf?vs=1721'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/tunisia/tunisia%20upr%20wg%20report.pdf?vs=1740'}]"
Turkiye,0.38,0.11,,0.147,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/turkey/turkey%20srvaw.pdf?vs=2235'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/turkey/turkey%20cedaw%20co.pdf?vs=2154'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/turkey/turkey%20upr%20wg%20report.pdf?vs=2247'}]"
Turkmenistan,0.12,0.034,,0.061,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/turkmenistan/turkmenistan%20cedaw%20co.pdf?vs=2349'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/turkmenistan/turkmenistan%20upr%20wg%20report.pdf?vs=2429'}]"
Tuvalu,0.37,0.268,0.114,0.099,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/tuvalu/tuvalu%20cedaw%20co.pdf?vs=5149'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/tuvalu/tuvalu%20upr%20wg%20report.pdf?vs=26'}]"
Uganda,0.499,0.299,,0.34,0.003,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/uganda/uganda%20cedaw%20co.pdf?vs=1836'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/uganda/uganda%20upr%20wg%20report.pdf?vs=1919'}]"
Ukraine,0.26,0.076,0.05,0.091,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/ukraine/ukraine%20cedaw%20co.pdf?vs=3354'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/ukraine/ukraine%20upr%20wg%20report.pdf?vs=3408'}]"
United Arab Emirates,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/united%20arab%20emirates/united%20arab%20emirates%20cedaw%20co.pdf?vs=2539'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/united%20arab%20emirates/uae%20upr%20wg%20report.pdf?vs=2527'}]"
United Kingdom of Great Britain and Northern Ireland,0.29,0.05,0.07,0.001,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/united%20kingdom%20of%20great%20britain%20and%20northern%20ireland/united%20kingdom%20of%20great%20britain%20and%20northern%20ireland%20srvaw.pdf?vs=3603'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/united%20kingdom%20of%20great%20britain%20and%20northern%20ireland/uk%20cedaw%20co.pdf?vs=3501'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/united%20kingdom%20of%20great%20britain%20and%20northern%20ireland/uk%20upr%20wg%20report.pdf?vs=3550'}]"
United Republic of Tanzania,0.462,0.296,,0.305,0.1,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/tanzania%20united%20republic%20of/united%20republic%20of%20tanzania%20cedaw%20co.pdf?vs=1359'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/tanzania%20united%20republic%20of/united%20republic%20of%20tanzania%20upr%20wg%20report.pdf?vs=1430'}]"
United States of America,,,,,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/united%20states%20of%20america/united%20states%20of%20america%20srvaw.pdf?vs=4237'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/united%20states%20of%20america/usa%20upr%20wg%20report.pdf?vs=4248'}]"
Uruguay,0.168,0.031,,0.246,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/uruguay/uruguay%20cedaw%20co.pdf?vs=4318'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/uruguay/uruguay%20upr%20wg%20report.pdf?vs=4329'}]"
Uzbekistan,,,,0.072,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/uzbekistan/uzbekistan%20cedaw%20co.pdf?vs=2831'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/uzbekistan/uzbekistan%20upr%20wg%20report.pdf?vs=2853'}]"
Vanuatu,0.6,0.44,0.33,0.214,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/vanuatu/vanuatu%20cedaw%20co.pdf?vs=5522'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/vanuatu/vanuatu%20upr%20wg%20report.pdf?vs=101'}]"
Venezuela (Bolivarian Republic of),,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/venezuela%20bolivarian%20republic%20of/venezuela%20cedaw%20co.pdf?vs=4355'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/venezuela%20bolivarian%20republic%20of/venezuela%20upr%20wg%20report.pdf?vs=4406'}]"
Viet Nam,0.32,0.089,0.09,0.106,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/viet%20nam/vietnam%20cedaw%20co.pdf?vs=3057'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/viet%20nam/viet%20nam%20upr%20wg%20report.pdf?vs=3026'}]"
Yemen,,,,0.319,0.185,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/yemen/yemen%20cedaw%20co.pdf?vs=3200'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/yemen/yemen%20upr%20wg%20report.pdf?vs=3328'}]"
Zambia,0.422,0.253,,0.29,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/zambia/zambia%20srvaw.pdf?vs=2110'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/zambia/zambia%20cedaw%20co.pdf?vs=2028'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/zambia/zambia%20upr%20wg%20report.pdf?vs=3348'}]"
Zimbabwe,0.44,0.19,,0.337,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/zimbabwe/zimbabwe%20cedaw%20co.pdf?vs=2207'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/zimbabwe/zimbabwe%20upr%20wg%20report.pdf?vs=2242'}]"
